,freq,amp,coefA_in,coefB_in,coefA_out,coefB_out,THD_out
0,50,10,"[np.float64(4.683753385137379e-20), np.float64(0.000628002144107743), np.float64(-1.6783082991831893e-06), np.float64(-1.415481563000608e-06), np.float64(-1.3419293899189092e-06), np.float64(-1.3104122921247592e-06), np.float64(-1.2939045959716703e-06)]","[np.float64(-0.0), np.float64(0.19989863337137376), np.float64(-0.00026710754679691476), np.float64(-0.00015018281151218713), np.float64(-0.00010678172672268614), np.float64(-8.34165760964054e-05), np.float64(-6.863564074478531e-05)]","[np.float64(33.20300196850396), np.float64(324.36615237621226), np.float64(0.9541889696856944), np.float64(-524.8381846771086), np.float64(-1.744656260526366), np.float64(-116.2330062789489), np.float64(15.325276235902482)]","[np.float64(-0.0), np.float64(-2770.7034011815285), np.float64(-34.27674821075221), np.float64(316.15654220910534), np.float64(-1.485951745980382), np.float64(288.8696268834552), np.float64(18.607472560485753)]",26.654355606645346
1,50,9,"[np.float64(1.2819606487468604e-18), np.float64(0.0005652019296969705), np.float64(-1.5104774692652927e-06), np.float64(-1.273933406700535e-06), np.float64(-1.2077364509316606e-06), np.float64(-1.1793710629120967e-06), np.float64(-1.1645141363749174e-06)]","[np.float64(-0.0), np.float64(0.17990877003423636), np.float64(-0.00024039679211722376), np.float64(-0.0001351645303609666), np.float64(-9.610355405041817e-05), np.float64(-7.507491848676532e-05), np.float64(-6.177207667030661e-05)]","[np.float64(56.760580708661436), np.float64(-2049.939291666488), np.float64(8.391718702069925), np.float64(389.235861375198), np.float64(25.780383824248556), np.float64(-194.96154102728764), np.float64(-6.61910505451293)]","[np.float64(-0.0), np.float64(-1679.9383470669566), np.float64(5.610400347215945), np.float64(-122.52254926264735), np.float64(-31.486843817255092), np.float64(-79.7683442914078), np.float64(-7.651075665834749)]",19.832457127791677
2,50,7,"[np.float64(8.777700788442644e-19), np.float64(0.0004396015008754209), np.float64(-1.1748158094283721e-06), np.float64(-9.908370941004668e-07), np.float64(-9.393505729448183e-07), np.float64(-9.172886044867604e-07), np.float64(-9.057332171812613e-07)]","[np.float64(-0.0), np.float64(0.13992904335996167), np.float64(-0.00018697528275784), np.float64(-0.00010512796805853105), np.float64(-7.474720870588189e-05), np.float64(-5.839160326748366e-05), np.float64(-4.8044948521348924e-05)]","[np.float64(-21.038139763779547), np.float64(1916.8035544127717), np.float64(22.77717308253025), np.float64(104.87492475387393), np.float64(17.54919920361977), np.float64(20.241039456130725), np.float64(8.139452170689601)]","[np.float64(-0.0), np.float64(-995.7148652406102), np.float64(-21.6454702152847), np.float64(-8.4928298990771), np.float64(-22.45969832295299), np.float64(34.55457484123137), np.float64(10.604666673995451)]",11.558134825601664
3,50,2,"[np.float64(9.020562075079396e-20), np.float64(0.00012560042882154855), np.float64(-3.3566165983671234e-07), np.float64(-2.8309631260012586e-07), np.float64(-2.683858779841406e-07), np.float64(-2.620824584248878e-07), np.float64(-2.587809191944976e-07)]","[np.float64(-0.0), np.float64(0.03997972667427476), np.float64(-5.342150935938288e-05), np.float64(-3.0036562302437385e-05), np.float64(-2.1356345344537286e-05), np.float64(-1.6683315219281205e-05), np.float64(-1.372712814895699e-05)]","[np.float64(-4.048720472440946), np.float64(346.16429136789367), np.float64(-1.5972335732582892), np.float64(-11.93276985588105), np.float64(0.6962859170845677), np.float64(-3.304818558576041), np.float64(1.677133385445054)]","[np.float64(-0.0), np.float64(411.0970556662595), np.float64(13.0562858393574), np.float64(-5.282580701892851), np.float64(7.72599669408496), np.float64(-11.324737648951002), np.float64(-2.513043859610783)]",40.39026153430003
4,50,8,"[np.float64(3.6082248300317586e-19), np.float64(0.0005024017152861942), np.float64(-1.3426466393468494e-06), np.float64(-1.1323852504005035e-06), np.float64(-1.0735435119365624e-06), np.float64(-1.0483298336995513e-06), np.float64(-1.0351236767779904e-06)]","[np.float64(-0.0), np.float64(0.15991890669709904), np.float64(-0.00021368603743753152), np.float64(-0.00012014624920974954), np.float64(-8.542538137814914e-05), np.float64(-6.673326087712482e-05), np.float64(-5.490851259582796e-05)]","[np.float64(64.51870078740156), np.float64(-2194.489626012332), np.float64(2.437508945982333), np.float64(-198.95320004086062), np.float64(9.9605870041725), np.float64(-55.45963798248021), np.float64(-1.6232547591248185)]","[np.float64(-0.0), np.float64(1107.7111472083805), np.float64(-13.68932064991461), np.float64(80.0786090378802), np.float64(19.356882538978276), np.float64(-98.24486782621968), np.float64(5.2990345720627)]",13.991082719958936
5,50,0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0)]","[np.float64(5.521653543307088), np.float64(3.732026005487055), np.float64(9.074731680838173), np.float64(-6.836281662053248), np.float64(-7.221017596083835), np.float64(-0.7270218595554784), np.float64(-6.127430242566723)]","[np.float64(-0.0), np.float64(4.990254745534725), np.float64(-1.1129594065701354), np.float64(-2.201959804471384), np.float64(-2.061759879820658), np.float64(-5.167632629181561), np.float64(4.673736046339367)]",3185.415567889112
6,50,8,"[np.float64(3.6082248300317586e-19), np.float64(0.0005024017152861942), np.float64(-1.3426466393468494e-06), np.float64(-1.1323852504005035e-06), np.float64(-1.0735435119365624e-06), np.float64(-1.0483298336995513e-06), np.float64(-1.0351236767779904e-06)]","[np.float64(-0.0), np.float64(0.15991890669709904), np.float64(-0.00021368603743753152), np.float64(-0.00012014624920974954), np.float64(-8.542538137814914e-05), np.float64(-6.673326087712482e-05), np.float64(-5.490851259582796e-05)]","[np.float64(-9.510334645669289), np.float64(2435.63381974011), np.float64(40.397446445550855), np.float64(123.61270637968168), np.float64(17.905226600550098), np.float64(-92.34268413579764), np.float64(-17.228974681205095)]","[np.float64(-0.0), np.float64(-76.49164345458462), np.float64(-14.423641323477831), np.float64(164.47992366079228), np.float64(33.84597643019583), np.float64(-20.643184170574422), np.float64(1.9268872233393486)]",13.35881630992373
7,50,4,"[np.float64(1.8041124150158793e-19), np.float64(0.0002512008576430971), np.float64(-6.713233196734247e-07), np.float64(-5.661926252002517e-07), np.float64(-5.367717559682812e-07), np.float64(-5.241649168497756e-07), np.float64(-5.175618383889952e-07)]","[np.float64(-0.0), np.float64(0.07995945334854952), np.float64(-0.00010684301871876576), np.float64(-6.007312460487477e-05), np.float64(-4.271269068907457e-05), np.float64(-3.336663043856241e-05), np.float64(-2.745425629791398e-05)]","[np.float64(0.9795767716535378), np.float64(298.1863604453076), np.float64(-8.498500349908936), np.float64(43.096477245318454), np.float64(12.987519269862444), np.float64(-6.022596585713737), np.float64(1.031882433427536)]","[np.float64(-0.0), np.float64(1129.1738991002273), np.float64(27.02297353603023), np.float64(-2.2074578566211494), np.float64(8.378294534015478), np.float64(-24.70158715446218), np.float64(17.327317600591964)]",18.663733751365818
8,50,8,"[np.float64(3.6082248300317586e-19), np.float64(0.0005024017152861942), np.float64(-1.3426466393468494e-06), np.float64(-1.1323852504005035e-06), np.float64(-1.0735435119365624e-06), np.float64(-1.0483298336995513e-06), np.float64(-1.0351236767779904e-06)]","[np.float64(-0.0), np.float64(0.15991890669709904), np.float64(-0.00021368603743753152), np.float64(-0.00012014624920974954), np.float64(-8.542538137814914e-05), np.float64(-6.673326087712482e-05), np.float64(-5.490851259582796e-05)]","[np.float64(59.97317913385825), np.float64(-2296.5078038168913), np.float64(-1.0722068364610822), np.float64(-197.53427723950495), np.float64(15.399646263580337), np.float64(20.343604799147208), np.float64(0.8493709286185372)]","[np.float64(-0.0), np.float64(834.2776874734841), np.float64(-11.042812864128152), np.float64(1.3371310550426811), np.float64(3.015591448710921), np.float64(-88.280847454497), np.float64(-7.099445755875103)]",12.487368518993646
9,50,4,"[np.float64(1.8041124150158793e-19), np.float64(0.0002512008576430971), np.float64(-6.713233196734247e-07), np.float64(-5.661926252002517e-07), np.float64(-5.367717559682812e-07), np.float64(-5.241649168497756e-07), np.float64(-5.175618383889952e-07)]","[np.float64(-0.0), np.float64(0.07995945334854952), np.float64(-0.00010684301871876576), np.float64(-6.007312460487477e-05), np.float64(-4.271269068907457e-05), np.float64(-3.336663043856241e-05), np.float64(-2.745425629791398e-05)]","[np.float64(7.477608267716528), np.float64(-357.49449037844516), np.float64(-10.22226091419826), np.float64(-39.302858755688334), np.float64(5.5454626434554815), np.float64(1.587352806374333), np.float64(9.311642824919621)]","[np.float64(-0.0), np.float64(-1115.721271443303), np.float64(-7.904071542329905), np.float64(26.467157240251982), np.float64(-4.715779828220879), np.float64(0.34438514071681403), np.float64(1.6343313140529936)]",18.581792341774367
